filename	xmlid	author	title	firstedition	language	gender	size	reprints	timeslot	authorid	printedition	pubplace
ENG18411_Tupper	ENG18411	Tupper, Martin Farquhar	"The Twins: A Domestic Novel : ELTeC
                                                  edition"	1844.	eng	M	short	low	T1	https://viaf.org/viaf/44385259/	NA	NA
ENG18460_Reynolds	ENG18460	Reynolds, George William McArthur	The mysteries of London	1846	eng	M	long	low	T1	https://viaf.org/viaf/72764995/	NA	NA
ENG18471_Bronte	ENG18471	BrontÃ«, Emily	Wuthering Heights	1847	eng	F	long	high	T1	https://viaf.org/viaf/97097302/	NA	NA
ENG18400_Trollope	ENG18400	Trollope, Frances Milton	The Life and Adventures of Michael Armstrong	NA	eng	F	long	low	T1	https://viaf.org/viaf/34551336/	1840	NA
ENG18410_Sinclair	ENG18410	Sinclair, Catherine	Modern Flirtations: or, A Month at Harrowgate	NA	eng	F	long	low	T1	https://viaf.org/viaf/37692813/	1841	NA
ENG18440_Disraeli	ENG18440	Disraeli, Benjamin	Coningsby: or, The New Generation	NA	eng	M	long	low	T1	https://viaf.org/viaf/49233448/	1844	NA
ENG18470_Aguilar	ENG18470	Aguilar, Grace	"Home Influence: A Tale for Mothers and
                                                  Daughters"	NA	eng	F	long	low	T1	https://viaf.org/viaf/7628015/	1847	NA
ENG18480_Thackeray	ENG18480	Thackeray, William Makepeace	Vanity Fair: A Novel without a Hero: ELTeC edition	NA	eng	M	long	high	T1	https://viaf.org/viaf/95208604/	1848	NA
